Year, NodeId, Gender, IP_Key:Accessibility, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
1995.5,1,0,Yes,37,6,1,4,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,38,11,6,3,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,39,6,2,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,40,10,4,3,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,41,4,3,5,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,42,11,6,6,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,43,7,5,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,44,7,3,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,45,5,3,4,0,0,0,1,1,1,1,0
1995.5,1,0,Yes,46,4,1,3,0,0,0,0,0,0,1,0
1995.5,1,0,Yes,47,4,2,1,0,0,0,1,1,1,1,0
1995.5,1,0,Yes,48,5,2,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,49,8,3,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,50,7,2,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,51,3,1,0,0,0,0,1,1,1,0,0
1995.5,1,0,Yes,52,3,2,4,0,0,0,1,1,1,1,0
1995.5,1,0,Yes,53,9,5,3,0,0,0,0,0,0,1,0
1995.5,1,0,Yes,54,5,4,4,0,0,0,1,1,1,0,0
1995.5,1,0,Yes,55,8,3,4,0,0,0,0,0,0,1,0
1995.5,1,0,Yes,56,3,1,2,0,0,0,1,1,1,1,0
1995.5,1,0,Yes,57,2,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,58,4,3,2,0,0,0,1,1,1,1,0
1995.5,1,0,Yes,59,4,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,60,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,61,4,3,2,0,0,0,1,1,1,0,0
1995.5,1,0,Yes,62,3,3,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,63,7,3,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,64,1,1,0,0,1,0,0,0,0,0,0
1995.5,1,0,Yes,65,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,66,1,1,1,0,0,0,1,1,1,2,0
1995.5,1,0,Yes,67,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,68,0,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,69,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,70,4,4,1,0,0,0,1,1,1,0,0
1995.5,1,0,Yes,71,0,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,72,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,73,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,74,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,75,2,2,0,0,0,0,1,1,1,0,0
1995.5,1,0,Yes,76,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,77,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,78,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,79,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,80,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,81,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,82,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,83,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,84,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,85,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,86,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,87,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,88,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,89,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,90,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,91,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,92,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,93,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,94,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,95,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,96,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,97,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,98,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,99,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,0,4,1,4,0,1,1,0,0,0,0,0
1995.5,1,0,No,1,8,3,8,0,2,2,0,0,0,0,0
1995.5,1,0,No,2,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,3,5,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,4,5,2,5,0,0,0,0,0,0,0,0
1995.5,1,0,No,5,9,4,1,0,1,1,0,0,0,0,0
1995.5,1,0,No,6,1,1,3,0,0,0,0,0,0,0,0
1995.5,1,0,No,7,1,1,1,0,1,1,0,0,0,0,0
1995.5,1,0,No,8,2,1,0,0,1,1,0,0,0,0,0
1995.5,1,0,No,9,3,2,5,0,1,1,0,0,0,0,0
1995.5,1,0,No,10,3,2,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,11,3,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,12,1,1,4,0,1,1,0,0,0,0,0
1995.5,1,0,No,13,2,2,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,14,5,3,2,0,1,1,0,0,0,0,0
1995.5,1,0,No,15,2,1,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,16,1,0,3,0,0,0,0,0,0,0,0
1995.5,1,0,No,17,3,3,3,0,0,0,0,0,0,0,0
1995.5,1,0,No,18,4,3,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,19,3,2,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,20,3,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,21,2,1,4,0,0,0,0,0,0,0,0
1995.5,1,0,No,22,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,23,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,24,5,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,25,3,2,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,26,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,27,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,28,5,3,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,29,2,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,30,4,1,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,31,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,32,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,33,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,34,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,35,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,36,2,2,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,37,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,38,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,39,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,40,2,2,3,0,0,0,0,0,0,0,0
1995.5,1,0,No,41,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,42,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,43,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,44,4,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,45,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,46,0,0,3,0,0,0,0,0,0,0,0
1995.5,1,0,No,47,2,2,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,48,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,49,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,50,2,2,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,51,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,52,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,53,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,54,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,55,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,56,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,57,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,58,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,59,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,60,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,61,0,0,2,0,0,0,0,0,0,0,0
1995.5,1,0,No,62,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,63,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,64,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,65,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,66,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,67,1,1,0,0,1,0,0,0,0,0,0
1995.5,1,0,No,68,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,69,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,70,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,71,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,72,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,73,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,74,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,75,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,76,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,77,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,78,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,79,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,80,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,81,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,82,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,83,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,84,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,85,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,86,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,87,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,88,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,89,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,90,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,91,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,92,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,93,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,94,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,95,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,96,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,97,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,98,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,99,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,0,24,9,13,0,3,3,12,12,6,8,6
1995.5,1,1,Yes,1,17,5,6,0,5,5,1,1,1,3,0
1995.5,1,1,Yes,2,14,5,11,0,7,7,1,1,1,6,0
1995.5,1,1,Yes,3,16,10,13,0,3,3,5,5,5,10,0
1995.5,1,1,Yes,4,28,11,6,0,1,1,3,3,3,3,0
1995.5,1,1,Yes,5,13,7,9,0,3,3,3,3,3,4,0
1995.5,1,1,Yes,6,24,11,13,0,0,0,4,4,4,8,0
1995.5,1,1,Yes,7,15,6,8,0,3,3,2,2,2,5,0
1995.5,1,1,Yes,8,17,7,16,0,6,6,0,0,0,7,0
1995.5,1,1,Yes,9,17,7,9,0,1,1,1,1,1,6,0
1995.5,1,1,Yes,10,13,4,5,0,2,2,2,2,2,2,0
1995.5,1,1,Yes,11,14,6,6,0,3,3,0,0,0,3,0
1995.5,1,1,Yes,12,13,3,7,0,2,2,1,1,1,2,0
1995.5,1,1,Yes,13,10,5,7,0,2,2,2,2,2,4,0
1995.5,1,1,Yes,14,10,5,8,0,5,5,0,0,0,5,0
1995.5,1,1,Yes,15,10,7,9,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,16,15,8,5,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,17,16,10,7,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,18,9,6,6,0,1,0,1,1,1,1,0
1995.5,1,1,Yes,19,16,10,7,0,0,0,0,0,0,0,1
1995.5,1,1,Yes,20,11,5,5,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,21,8,4,4,0,0,0,0,0,0,1,1
1995.5,1,1,Yes,22,14,7,7,0,0,0,2,2,1,1,1
1995.5,1,1,Yes,23,19,9,6,0,0,0,1,1,1,1,0
1995.5,1,1,Yes,24,15,11,5,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,25,16,9,9,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,26,12,6,6,0,0,0,1,1,1,1,0
1995.5,1,1,Yes,27,9,4,5,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,28,13,6,1,0,0,0,2,2,2,2,1
1995.5,1,1,Yes,29,11,3,4,0,0,0,3,3,0,1,1
1995.5,1,1,Yes,30,13,7,8,0,0,0,1,1,1,0,0
1995.5,1,1,Yes,31,10,7,3,0,0,0,2,2,1,0,1
1995.5,1,1,Yes,32,11,6,7,0,0,0,1,1,1,1,0
1995.5,1,1,Yes,33,14,7,10,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,34,10,7,2,0,0,0,2,2,1,0,0
1995.5,1,1,Yes,35,11,6,3,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,36,6,5,4,0,0,0,1,1,1,1,0
1995.5,1,1,Yes,37,8,3,6,0,0,0,0,0,0,0,1
1995.5,1,1,Yes,38,5,2,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,39,8,1,4,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,40,6,3,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,41,6,1,5,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,42,9,3,3,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,43,10,4,2,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,44,9,1,5,0,0,0,1,1,0,1,1
1995.5,1,1,Yes,45,4,2,5,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,46,5,2,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,47,2,2,9,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,48,5,1,1,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,49,9,5,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,50,4,3,2,0,1,0,1,1,1,0,0
1995.5,1,1,Yes,51,8,5,3,0,0,0,1,1,1,0,0
1995.5,1,1,Yes,52,5,3,3,0,0,0,1,1,1,0,0
1995.5,1,1,Yes,53,8,6,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,54,6,5,5,0,0,0,1,1,1,1,0
1995.5,1,1,Yes,55,5,5,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,56,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,57,6,6,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,58,3,1,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,59,3,2,3,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,60,7,4,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,61,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,62,3,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,63,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,64,3,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,65,2,0,1,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,66,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,67,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,68,5,4,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,69,3,2,1,1,0,0,1,1,1,0,0
1995.5,1,1,Yes,70,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,71,3,1,1,1,0,0,1,1,1,1,0
1995.5,1,1,Yes,72,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,73,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,74,1,0,0,0,1,1,0,0,0,0,0
1995.5,1,1,Yes,75,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,76,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,77,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,78,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,79,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,80,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,81,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,82,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,83,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,84,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,85,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,86,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,87,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,88,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,89,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,90,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,91,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,92,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,93,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,94,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,95,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,96,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,97,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,98,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,99,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,0,2,0,2,0,2,2,0,0,0,0,0
1995.5,1,1,No,1,4,0,2,0,1,1,0,0,0,0,0
1995.5,1,1,No,2,5,3,4,0,0,0,0,0,0,0,0
1995.5,1,1,No,3,6,5,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,4,4,2,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,5,2,0,2,0,1,1,0,0,0,0,0
1995.5,1,1,No,6,2,0,3,0,2,2,0,0,0,0,0
1995.5,1,1,No,7,5,2,0,0,1,1,0,0,0,0,0
1995.5,1,1,No,8,5,1,0,0,1,1,0,0,0,0,0
1995.5,1,1,No,9,4,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,10,4,2,3,0,1,1,0,0,0,0,0
1995.5,1,1,No,11,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,12,1,0,1,0,1,1,0,0,0,0,0
1995.5,1,1,No,13,6,2,3,0,2,2,0,0,0,0,0
1995.5,1,1,No,14,1,1,3,0,2,2,0,0,0,0,0
1995.5,1,1,No,15,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,16,3,1,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,17,1,0,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,18,4,3,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,19,4,3,5,0,0,0,0,0,0,0,0
1995.5,1,1,No,20,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,21,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,22,3,3,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,23,2,2,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,24,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,25,4,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,26,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,27,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,28,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,29,6,2,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,30,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,31,3,2,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,32,4,1,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,33,3,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,34,3,3,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,35,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,36,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,37,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,38,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,39,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,40,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,41,3,3,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,42,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,43,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,44,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,45,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,46,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,47,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,48,3,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,49,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,50,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,51,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,52,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,53,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,54,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,55,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,56,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,57,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,58,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,59,0,0,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,60,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,61,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,62,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,63,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,64,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,65,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,66,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,67,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,68,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,69,2,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,70,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,71,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,72,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,73,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,74,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,75,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,76,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,77,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,78,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,79,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,80,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,81,0,0,0,0,0,0,0,0,0,0,0
