Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,338,0,0,0,13,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,289,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,2,291,0,0,0,3,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,3,280,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,4,307,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,5,253,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,6,249,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,7,245,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,8,229,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,9,234,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,10,220,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,11,177,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,12,184,0,0,0,0,0,0,0,0,0,0,0,0,0
